t_ms,sum_junct,D,sat,G,G2,U,sum_junct2,Dz
659.38,0,0,0,100,-1720,100,100,0
662.16,0,0,0,100,-2134,100,100,0
664.94,0,0,0,100,-1867,100,100,0
667.74,0,0,0,100,-2292,100,100,0
670.53,0,0,0,100,-1955,100,100,0
673.32,0,0,0,100,-2119,100,100,0
676.10,1,42,42,100,-1697,100,101,-1
679.02,1,7,7,100,-1939,100,101,-1
681.83,1,7,7,100,-1613,100,101,-1
684.63,1,7,7,100,-1552,100,101,-1
687.44,1,7,7,100,-1398,100,101,-1
690.26,1,7,7,100,-1289,100,101,-1
693.06,1,7,7,100,-811,100,101,-1
695.83,1,7,7,100,-936,100,101,-1
698.59,1,7,7,100,-1244,100,101,-1
701.40,1,7,7,100,-1171,100,101,-1
704.19,1,7,7,100,-755,100,101,-1
706.96,1,7,7,100,-553,100,101,-1
709.73,1,7,7,100,-227,100,101,-1
712.50,1,7,7,100,-278,100,101,-1
715.28,1,7,7,100,-11,100,101,-1
718.00,1,7,7,100,-272,100,101,-1
720.78,1,7,7,100,-163,100,101,-1
723.53,1,7,7,100,-148,100,101,-1
726.29,1,7,7,100,-68,100,101,-1
729.02,1,7,7,100,110,100,101,-1
731.77,1,7,7,100,117,100,101,-1
734.52,1,7,7,100,130,100,101,-1
737.28,1,7,7,100,-231,100,101,-1
740.04,1,7,7,100,-277,100,101,-1
742.80,1,7,7,100,-216,100,101,-1
745.57,1,7,7,100,-751,100,101,-1
748.33,1,7,7,100,808,100,101,-1
751.09,1,7,7,100,122,100,101,-1
753.84,1,7,7,100,811,100,101,-1
756.58,1,7,7,100,-501,100,101,-1
759.34,1,7,7,100,1041,100,101,-1
762.13,1,7,7,100,217,100,101,-1
764.88,1,7,7,100,1482,100,101,-1
767.65,0,-36,-36,100,1174,100,100,0
770.60,0,0,0,100,1869,100,100,0
773.36,0,0,0,100,943,100,100,0
776.10,0,0,0,100,1416,100,100,0
778.87,0,0,0,100,1238,100,100,0
781.63,0,0,0,100,2050,100,100,0
784.42,0,0,0,100,1515,100,100,0
787.19,0,0,0,100,1933,100,100,0
789.96,0,0,0,100,1755,100,100,0
792.73,0,0,0,100,1926,100,100,0
795.50,0,0,0,100,1779,100,100,0
798.26,0,0,0,100,1922,100,100,0
801.03,0,0,0,100,1631,100,100,0
803.79,0,0,0,100,1892,100,100,0
806.55,0,0,0,100,1826,100,100,0
809.31,0,0,0,100,1963,100,100,0
812.09,0,0,0,100,1594,100,100,0
814.85,0,0,0,100,1430,100,100,0
817.63,0,0,0,100,1420,100,100,0
820.40,0,0,0,100,1615,100,100,0
823.18,-1,-43,-43,100,1590,100,99,1
826.13,-1,-7,-7,100,1490,100,99,1
828.96,-1,-7,-7,100,1136,100,99,1
831.78,-1,-7,-7,100,672,100,99,1
834.56,-1,-7,-7,100,531,100,99,1
837.34,-1,-7,-7,100,497,100,99,1
840.13,-1,-7,-7,100,420,100,99,1
842.91,-1,-7,-7,100,243,100,99,1
845.69,-1,-7,-7,100,426,100,99,1
848.47,-1,-7,-7,100,185,100,99,1
851.26,-1,-7,-7,100,26,100,99,1
854.00,-1,-7,-7,100,-20,100,99,1
856.75,-1,-7,-7,100,-32,100,99,1
859.49,-1,-7,-7,100,-167,100,99,1
862.29,-1,-7,-7,100,-411,100,99,1
865.10,-1,-7,-7,100,207,100,99,1
867.88,-1,-7,-7,100,-418,100,99,1
870.67,0,35,35,100,-236,100,100,0
873.53,0,0,0,100,-258,100,100,0
876.27,0,0,0,100,-514,100,100,0
879.03,0,0,0,100,-11,100,100,0
881.73,0,0,0,100,-67,100,100,0
884.43,0,0,0,100,-456,100,100,0
887.18,0,0,0,100,182,100,100,0
889.93,0,0,0,100,164,100,100,0
892.66,0,0,0,100,-1011,100,100,0
895.45,0,0,0,100,-2,100,100,0
898.12,0,0,0,100,-467,100,100,0
900.86,0,0,0,100,-16,100,100,0
903.57,0,0,0,100,-1510,100,100,0
906.37,0,0,0,100,-127,100,100,0
909.12,0,0,0,100,-525,100,100,0
911.88,0,0,0,100,-533,100,100,0
914.62,0,0,0,100,-897,100,100,0
917.37,0,0,0,100,-925,100,100,0
920.12,0,0,0,100,-863,100,100,0
922.86,0,0,0,100,-625,100,100,0
925.61,0,0,0,100,-759,100,100,0
928.36,0,0,0,100,-856,100,100,0
931.10,0,0,0,100,-998,100,100,0
933.85,0,0,0,100,-926,100,100,0
936.59,0,0,0,100,-971,100,100,0
939.33,0,0,0,100,-995,100,100,0
942.09,0,0,0,100,-1022,100,100,0
944.88,0,0,0,100,-960,100,100,0
947.62,0,0,0,100,-941,100,100,0
950.37,0,0,0,100,-974,100,100,0
953.12,0,0,0,100,-977,100,100,0
955.86,0,0,0,100,-920,100,100,0
