t (sec.),u,y,e
0.9450000000000001,5.0,5.284135585641751,-0.2841355856417511
0.9500000000000001,5.0,5.290737953391581,-0.2907379533915808
0.9550000000000001,5.0,5.290088476226504,-0.29008847622650435
0.96,5.0,5.282427179802277,-0.2824271798022773
0.965,5.0,5.268156636762338,-0.26815663676233825
0.97,5.0,5.247827180969083,-0.2478271809690833
0.975,5.0,5.222118997208952,-0.2221189972089519
0.98,5.0,5.191821617160861,-0.1918216171608611
0.985,5.0,5.157811398875091,-0.15781139887509088
0.99,5.0,5.121027598037715,-0.12102759803771512
0.995,5.0,5.082447654619085,-0.08244765461908532
1.0,5.0,5.043062318238027,-0.043062318238026975
1.0050000000000001,5.0,5.003851220204889,-0.0038512202048890387
1.01,5.0,4.965759470576011,0.0342405294239887
1.0150000000000001,5.0,4.929675815818909,0.0703241841810911
1.02,5.0,4.896412838292625,0.1035871617073747
1.025,5.0,4.866689614370465,0.13331038562953523
1.03,5.0,4.841117175542016,0.15888282445798385
1.035,5.0,4.820187038236089,0.17981296176391126
1.04,5.0,4.804262985499948,0.1957370145000521
1.045,5.0,4.793576199179479,0.20642380082052103
1.05,5.0,4.788223756976088,0.21177624302391163
1.055,5.0,4.788170426745039,0.21182957325496066
1.06,5.0,4.793253612564751,0.2067463874352491
1.065,5.0,4.803191235204969,0.19680876479503073
1.07,5.0,4.8175922652130385,0.18240773478696148
1.075,5.0,4.835969571251354,0.16403042874864582
1.08,5.0,4.857754700630061,0.14224529936993857
1.085,5.0,4.88231417398855,0.11768582601145017
1.09,5.0,4.908966852304649,0.09103314769535142
1.095,5.0,4.937001922081068,0.06299807791893208
1.1,5.0,4.965697043619451,0.034302956380549254
1.105,5.0,4.994336217413863,0.0056637825861374225
1.11,5.0,5.022226944290283,-0.022226944290283157
1.115,5.0,5.048716285163514,-0.048716285163513895
1.12,5.0,5.073205465146205,-0.07320546514620485
1.125,5.0,5.095162713017947,-0.0951627130179471
1.1300000000000001,5.0,5.114134079394576,-0.1141340793945762
1.135,5.0,5.129752033873163,-0.1297520338731628
1.1400000000000001,5.0,5.141741701443988,-0.1417417014439879
1.145,5.0,5.149924660007163,-0.1499246600071631
1.1500000000000001,5.0,5.154220282369095,-0.1542202823690948
1.155,5.0,5.154644666131331,-0.15464466613133077
1.16,5.0,5.151307252012514,-0.15130725201251405
1.165,5.0,5.144405284068359,-0.14440528406835895
1.17,5.0,5.134216312841857,-0.13421631284185676
1.175,5.0,5.121088983698933,-0.12108898369893328
1.18,5.0,5.105432386680486,-0.10543238668048627
1.185,5.0,5.087704270525116,-0.08770427052511565
1.19,5.0,5.068398441689642,-0.06839844168964238
1.195,5.0,5.048031679028196,-0.04803167902819627
1.2,5.0,5.02713049630485,-0.027130496304850205
1.205,5.0,5.006218078129982,-0.006218078129982096
1.21,5.0,4.985801700636973,0.01419829936302719
1.215,5.0,4.966360926837175,0.033639073162825106
1.22,5.0,4.9483368388454085,0.051663161154591464
1.225,5.0,4.932122535924929,0.067877464075071
1.23,5.0,4.91805508953582,0.08194491046417962
1.235,5.0,4.906409105339335,0.09359089466066539
1.24,5.0,4.897391998519523,0.1026080014804771
1.245,5.0,4.891141043962244,0.1088589560377562
1.25,5.0,4.887722217904818,0.11227778209518213
1.2550000000000001,5.0,4.887130803729549,0.11286919627045133
1.26,5.0,4.889293692655638,0.11070630734436193
1.2650000000000001,5.0,4.894073271140366,0.10592672885963417
1.27,5.0,4.901272751683679,0.09872724831632063
1.2750000000000001,5.0,4.91064277317358,0.08935722682642044
1.28,5.0,4.9218890715124255,0.0781109284875745
1.285,5.0,4.934681001482731,0.0653189985172693
1.29,5.0,4.948660676950908,0.051339323049091945
1.295,5.0,4.963452488721645,0.036547511278355316
1.3,5.0,4.978672757645007,0.02132724235499328
1.305,5.0,4.993939284796559,0.006060715203441092
1.31,5.0,5.008880570412087,-0.008880570412086897
1.315,5.0,5.023144488349444,-0.023144488349443826
1.32,5.0,5.0364062226429684,-0.036406222642968444
1.325,5.0,5.04837529658566,-0.04837529658566009
1.33,5.0,5.058801552016167,-0.05880155201616688
1.335,5.0,5.067479966336964,-0.06747996633696385
1.34,5.0,5.074254226442677,-0.07425422644267687
1.345,5.0,5.079019011370288,-0.07901901137028844
1.35,5.0,5.081720968274621,-0.08172096827462116
1.355,5.0,5.082358398483186,-0.08235839848318616
1.36,5.0,5.080979701134715,-0.08097970113471487
1.365,5.0,5.077680650553371,-0.07768065055337114
1.37,5.0,5.0726006094263205,-0.07260060942632052
1.375,5.0,5.0659178024923746,-0.06591780249237456
1.3800000000000001,5.0,5.057843794366222,-0.05784379436622178
1.385,5.0,5.048617329973032,-0.04861732997303214
1.3900000000000001,5.0,5.038497706617621,-0.038497706617620864
1.395,5.0,5.027757852838319,-0.02775785283831933
1.4000000000000001,5.0,5.01667729088643,-0.016677290886430107
1.405,5.0,5.005535157023833,-0.005535157023833115
1.41,5.0,4.9946034470424605,0.005396552957539491
1.415,5.0,4.984140643772425,0.015859356227575283
1.42,5.0,4.974385869237571,0.025614130762429355
1.425,5.0,4.9655536869873815,0.03444631301261847
1.43,5.0,4.95782966049122,0.0421703395087798
1.435,5.0,4.951366751878738,0.04863324812126191
1.44,5.0,4.94628262233311,0.05371737766689044
1.445,5.0,4.942657871691133,0.05734212830886687
1.45,5.0,4.940535230875879,0.05946476912412102
1.455,5.0,4.939919697268965,0.06008030273103504
1.46,5.0,4.940779580578132,0.05922041942186773
1.465,5.0,4.943048405688293,0.056951594311707154
1.47,5.0,4.946627599865466,0.053372400134533926
1.475,5.0,4.951389874916147,0.04861012508385265
1.48,5.0,4.95718320082341,0.04281679917658998
1.485,5.0,4.963835256243642,0.03616474375635814
1.49,5.0,4.971158233233261,0.028841766766738886
1.495,5.0,4.978953868780691,0.021046131219309316
